FieldID,SoilMoisture,SoilTemperature,AirTemperature,Humidity,pH,WaterUsage,CropType,IrrigationSystemID,ReadingTimestamp,SolarRadiation,WindSpeed
1,75.49747044,48.92544314,65.75523298,71.54688191,6.033532142,1271.276971,Wheat,977,2023-01-01 00:00:00,749.4242315,12.98604866
2,43.96403677,31.7468458,42.46656651,39.49706544,5.708924029,725.8199301,Other,435,2023-01-01 01:00:00,480.5410848,10.22704988
3,16.15356275,16.32088645,24.17963204,50.15322824,7.012192602,518.0456538,Corn,929,2023-01-01 02:00:00,284.8593248,7.806262453
4,66.24011294,49.51080699,65.82345703,77.17432583,6.813488047,1163.743994,Wheat,375,2023-01-01 03:00:00,692.4859061,11.42420067
5,59.91115387,36.9913576,49.45783605,79.64961401,7.445098268,1116.273164,Other,614,2023-01-01 04:00:00,558.1828523,12.94162512
6,79.0461935,48.50095762,65.89424159,83.4056468,5.417957235,1377.187061,Other,978,2023-01-01 05:00:00,710.76794,12.85087839
7,21.52312254,16.19170212,25.61056945,42.85578008,7.467030375,612.9092174,Other,854,2023-01-01 06:00:00,326.2931007,7.500752217
8,37.15618339,25.36401897,39.41074675,63.81396908,5.144511909,767.543009,Wheat,707,2023-01-01 07:00:00,449.8581943,9.319918124
9,49.96621341,38.8116065,51.62846732,49.2960191,7.708616766,842.0315592,Other,964,2023-01-01 08:00:00,527.8910436,8.08296757
10,65.56603462,39.93468268,53.41389598,60.89488486,7.719051075,1098.875115,Soybean,276,2023-01-01 09:00:00,567.5156257,10.5283612
11,25.49145287,17.11542545,28.47514251,52.51844921,6.301863924,522.9327409,Other,397,2023-01-01 10:00:00,365.9463928,9.15329584
12,36.82745529,17.1129746,25.59960899,42.67212754,6.791781706,673.5749238,Wheat,676,2023-01-01 11:00:00,312.1265547,7.000089256
13,40.00463531,24.93216011,35.34233659,45.45390008,7.534803409,711.1309215,Soybean,237,2023-01-01 12:00:00,423.6860504,9.992679322
14,50.21580351,32.68666248,43.79055515,53.98378728,6.34456124,846.863649,Wheat,868,2023-01-01 13:00:00,486.7263755,10.83485768
15,46.32699509,33.45130071,43.87302381,69.58556372,6.959394343,868.3218711,Soybean,201,2023-01-01 14:00:00,515.2034022,9.875276753
